job_group,skill,url
파이썬 개발자,Docker,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=2217&locations=all
파이썬 개발자,React,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1469&locations=all
파이썬 개발자,Github,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1412&locations=all
파이썬 개발자,JPA,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=3451&locations=all
파이썬 개발자,C++,https://www.wanted.co.kr/wdlist/518/899?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1786&locations=all
머신러닝 엔지니어,Python,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1554&locations=all
머신러닝 엔지니어,Spring Framework,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=3078&locations=all
머신러닝 엔지니어,AWS,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1698&locations=all
머신러닝 엔지니어,Git,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1411&locations=all
머신러닝 엔지니어,iOS,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1457&locations=all
머신러닝 엔지니어,HTML,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1539&locations=all
머신러닝 엔지니어,JavaScript,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1541&locations=all
머신러닝 엔지니어,MySQL,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1464&locations=all
머신러닝 엔지니어,SQL,https://www.wanted.co.kr/wdlist/518/1634?country=kr&job_sort=job.recommend_order&years=0&skill_tags=1562&locations=all
