,직군,직무,신입,1년차,2년차,3년차,4년차,5년차,6년차,7년차,8년차,9년차,10년차
154,고객서비스·리테일,아웃바운드 텔레마케터,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
155,고객서비스·리테일,CS 매니저,2798,2926,3024,3256,3298,3442,3645,3717,3790,3996,4242
156,고객서비스·리테일,헬스케어매니저,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
157,고객서비스·리테일,미용사,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
158,고객서비스·리테일,애견 미용사,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
159,고객서비스·리테일,리셉션,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
160,고객서비스·리테일,서비스 운영,2931,3074,3157,3312,3467,3751,3860,3969,4093,4364,4706
161,고객서비스·리테일,캐디,2770,2890,3103,3358,3420,3672,3931,3961,4131,4316,4697
162,미디어,전체,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
163,미디어,영상 편집가,2684,2839,3102,3458,3564,3724,3791,3858,4291,4521,4879
164,미디어,작가,2817,3007,3198,3389,3522,3694,3779,3864,4241,4619,4997
165,미디어,에디터,2803,2906,3198,3481,3600,3669,3989,3996,4159,4499,4979
166,미디어,저널리스트,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
167,미디어,PD,2866,3073,3243,3542,3671,3923,4130,4170,4481,4998,5283
168,미디어,리포터,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
169,미디어,사진작가,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
170,미디어,통·번역,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
171,미디어,출판 기획자,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
172,미디어,음향 엔지니어,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
173,미디어,큐레이터,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
174,미디어,콘텐츠 크리에이터,2746,3016,3230,3598,3598,3805,3994,4068,4714,4747,5096
175,미디어,라이센스 관리자,2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
176,미디어,비디오 제작,2850,3047,3200,3368,3536,3842,4028,4121,4363,4504,4646
177,미디어,"연예,엔터테인먼트",2824,3011,3176,3518,3603,3791,3997,4037,4409,4712,5089
178,HR,전체,3199,3371,3487,3761,4058,4299,4532,4785,5054,5473,6758
