"비정규직근로자(특수형태포함)","I.숙박 및 음식점업(55~56)",-,-,-,-,-,-,-,1037,1034,992,42,4,46
"비정규직근로자(특수형태포함)","J.정보통신업(58~63)",-,-,-,-,-,-,-,2255,2205,2169,36,50,595
"비정규직근로자(특수형태포함)","K.금융 및 보험업(64~66)",-,-,-,-,-,-,-,3785,3499,3478,22,286,3428
"비정규직근로자(특수형태포함)","L.부동산업(68)",-,-,-,-,-,-,-,2084,2070,2025,45,14,166
"비정규직근로자(특수형태포함)","M.전문, 과학 및 기술 서비스업(70~73)",-,-,-,-,-,-,-,2618,2543,2501,42,74,893
"비정규직근로자(특수형태포함)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",-,-,-,-,-,-,-,2093,2058,1973,85,35,417
"비정규직근로자(특수형태포함)","P.교육 서비스업(85)",-,-,-,-,-,-,-,1793,1779,1763,16,14,165
"비정규직근로자(특수형태포함)","Q.보건업 및 사회복지서비스업(86~87)",-,-,-,-,-,-,-,1428,1412,1376,37,16,186
"비정규직근로자(특수형태포함)","R 예술, 스포츠 및 여가관련 서비스업(90~91)",-,-,-,-,-,-,-,2006,1996,1962,34,10,123
"비정규직근로자(특수형태포함)","S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",-,-,-,-,-,-,-,1831,1811,1793,18,20,242
