,리뷰수(개),평점,평균 연봉(만)
한국여성경제인협회,71,2.2,4009.0
(사)한국안전기술협회,70,2.4,3738.0
이투스이씨아이(주),70,2.2,2981.0
(사)한국국제기아대책기구,69,3.1,3274.0
쉬플리코리아(주),69,2.6,3722.0
에스피케이(주),69,1.8,3211.0
한국금융연구원,69,3.6,10205.0
(주)움트,68,1.8,2946.0
(주)핫시즈너,68,3.5,3735.0
머서코리아(주),68,3.0,5918.0
메타브랜딩(주),68,2.4,3883.0
샤우트웨거너에드스트롬,68,2.3,3637.0
대한한의사협회,67,2.3,3083.0
리서치코리아(주),67,1.9,2612.0
울산테크노파크(재),67,3.4,3818.0
이언그룹(주),67,3.4,4353.0
탑비즈,67,2.8,2757.0
풀무원홀딩스(주),67,2.7,4945.0
국토교통과학기술진흥원,66,3.3,4150.0
(주)로앤컴퍼니,65,3.1,4410.0
대검찰청,64,2.6,3649.0
씨제이(주),64,3.7,4318.0
함께일하는재단,64,2.1,3039.0
(사)한국엔젤투자협회,63,3.0,3987.0
대림미술관,63,3.2,2544.0
오가노이드사이언스(주),63,2.3,4347.0
한국수산자원관리공단,63,3.2,3405.0
현대성우오토모티브코리아(주),63,2.3,4541.0
(주)스탠더드시험연구소,62,2.9,3962.0
(주)휴먼파트너,62,2.3,2996.0
법무법인(유)이현,62,2.3,2918.0
유엔난민기구,62,3.5,7252.0
한국지체장애인협회(사),62,2.2,2899.0
(사)한국이에이피협회,61,2.1,2962.0
(재)그린피스,61,3.1,3761.0
(주)해리코리아,61,2.2,3242.0
강남문화재단,61,2.3,2536.0
다문화가족지원센터,61,2.9,2392.0
한국개발전략연구소(사),61,2.2,3491.0
한국사회복지협의회,61,2.6,3036.0
(재)키엘연구원,60,2.5,3871.0
(주)리팅랩스,60,2.4,4679.0
더에이치알더(주),60,1.8,2808.0
동아쏘시오홀딩스(주),60,3.4,4723.0
에이비온(주),60,1.9,3600.0
한국소프트웨어산업협회,60,2.8,3237.0
더라이징스타,59,4.0,2853.0
씨지인바이츠(주),59,2.7,4605.0
우림에프엠지홀딩스(주),59,2.1,3310.0
한국국방연구원,59,3.2,4068.0
한국형사법무정책연구원,59,3.0,3706.0
(재)고양시정연구원,58,1.4,2422.0
대한출판문화협회,58,2.0,3552.0
리인터내셔널특허법률사무소,58,3.1,3153.0
세무법인하나,58,2.8,2422.0
(사)금융보안원,57,4.5,6444.0
넥스큐브코퍼레이션(주),57,2.6,3057.0
한국노동연구원,56,4.2,3770.0
한국로봇융합연구원,56,3.5,5337.0
IAE고등기술연구원,55,2.9,4176.0
지니너스(주),55,2.3,4046.0
한국해양과학기술원부설선박해양플랜트연구소,55,3.5,5179.0
(주)르호봇비즈니스인큐베이터,54,2.6,2881.0
제일특허법인(유),54,3.3,3801.0
(사)한국고용복지센터,53,3.3,2457.0
(주)엘리트코리아,53,2.2,2569.0
라임글로브(주),53,2.8,2967.0
영상물등급위원회,53,2.8,2779.0
중앙생명연구원(주),53,2.1,2660.0
탠저블플러스(주),53,3.7,6837.0
(사)대한노인회,51,2.2,2505.0
(주)코어씨앤씨,51,2.3,3107.0
(주)퓨처플레이,51,2.9,5293.0
경기관광공사,51,3.1,3076.0
더커뮤니케이션즈엔자임(주),51,2.9,2978.0
법무법인 로고스,51,2.8,2949.0
북한이탈주민지원재단,51,2.9,4016.0
(사)대한병원협회,50,2.0,3223.0
(주)에프엠어소시에이츠,50,3.4,5698.0
(주)한국유로핀즈분석서비스,50,1.7,3357.0
새빛회계법인,50,2.8,3493.0
한국식품산업협회(사),49,2.7,3292.0
(주)노랑푸드,48,2.7,3276.0
(주)메타비경영연구원,48,2.4,3514.0
한국도박문제관리센터,48,2.2,3295.0
(주)공공프리즘,47,2.2,2863.0
(주)에코앤파트너스,47,3.1,4407.0
법무법인정의,47,2.4,3069.0
사회복지법인기아대책,47,3.4,3384.0
(사)함께만드는세상 사회연대은행,46,2.2,2837.0
(재)대구경북디자인센터,46,2.2,2456.0
(주)편두리,46,2.2,2654.0
미래회계법인,46,3.1,2280.0
서울테크노파크(재),46,2.0,3603.0
인터내셔널디스트리뷰션네트워크코리아(유),46,2.3,4359.0
통일연구원,46,3.0,2477.0
한국지방재정공제회,46,4.0,4747.0
(주)에이치앤컨설팅,45,1.7,3791.0
대한건설협회,45,3.5,4319.0
언더독스(주),45,2.6,3675.0
한국법제연구원,45,2.9,3609.0
한국정보산업연합회(사),45,2.1,3493.0
한일프로텍(주),45,2.6,3460.0
대한체육회(사),44,3.1,3180.0
스타법무법인,44,1.7,2846.0
와이즈폴(주),44,2.4,2512.0
(재)한국세계자연기금,43,2.0,3858.0
(주)셀트리온화학연구소,43,1.7,5159.0
(주)컨슈머인사이트,43,3.3,4047.0
(주)피앰아이,43,3.2,3767.0
경기경영자총협회,43,2.9,3062.0
대원세무법인,43,2.6,2955.0
안산도시공사,43,2.2,2726.0
(사)한국경영자총협회,42,3.5,4573.0
(사)한국소재부품장비투자기관협의회,42,2.9,3717.0
(주)삼성글로벌리서치,42,4.2,6498.0
국립민속박물관,42,2.6,2298.0
삼정,42,3.3,5280.0
알파사이츠,42,2.8,6110.0
월드투게더(사),42,2.9,2610.0
지멘스(주) 메디칼초음파연구소,42,2.9,5190.0
티엔엠에스(주),42,1.8,2632.0
(사)한국ESG기준원,41,3.4,4758.0
(주)케이스탯리서치,41,3.0,3514.0
제주문화예술재단,41,2.3,2426.0
한국청소년정책연구원,41,3.6,3718.0
(주)골든민커뮤니케이션,40,2.3,3187.0
(주)엑셀세라퓨틱스,40,2.5,3972.0
강동구청,40,3.4,2631.0
대법원,40,3.2,3958.0
엘지(주),40,3.4,4307.0
이목커뮤니케이션즈(주),40,1.8,3332.0
인구보건복지협회,40,2.5,3523.0
프로스트앤드설리번(주),40,2.8,4988.0
(주)서던포스트,39,2.9,3047.0
(주)올투딜리셔스,39,3.1,3078.0
룩센트인코포레이티드(주),39,3.2,6350.0
여성인력개발센터,39,2.2,2560.0
특허법인가산,39,2.7,2941.0
특허법인씨엔에스,39,3.5,3418.0
포항가속기연구소,39,3.4,4647.0
한국사물인터넷협회,39,1.5,2860.0
(사)대한안전교육협회,38,4.4,2586.0
(사)더나은세상,38,2.7,2610.0
(재)충남정보문화산업진흥원,38,2.2,3699.0
강릉문화원,38,2.2,1723.0
거슨러먼그룹코리아(유),38,2.8,5347.0
법무법인(유)세종,38,2.9,3503.0
사회복지법인하트하트재단,38,2.0,3355.0
서울시립미술관,38,3.6,3742.0
스타 법률사무소,38,1.7,2443.0
충청북도교육청,38,3.4,3083.0
한국광고총연합회(사),38,2.5,3113.0
한국아이큐비아솔루션스(주),38,3.3,4654.0
(사)손해보험협회,37,3.7,4988.0
(주)누베베,37,1.8,2805.0
(주)다래전략사업화센터,37,2.6,3507.0
(주)서강교육그룹,37,2.0,3607.0
(주)에프앤디파트너,37,2.5,3944.0
가온파트너스(주),37,2.5,4199.0
경기도보건환경연구원,37,3.8,3335.0
안양시청,37,3.2,2854.0
인싸이트그룹(주),37,2.8,3454.0
한국예술경영협회(사),37,2.5,2796.0
한국타이어월드와이드(주),37,2.7,6364.0
한국항공대학교,37,2.9,4142.0
(재)국가생명윤리정책원,36,2.1,3667.0
(주)날리지웍스,36,3.1,4212.0
(주)누리환경기술센터,36,2.4,2955.0
(주)브라이트유니온,36,1.6,3344.0
(주)위더코어,36,2.0,4487.0
(사)지구촌나눔운동,35,2.9,2883.0
(사)한국핀테크지원센터,35,2.7,4477.0
(사)한국환경건축연구원,35,2.1,3406.0
(주)모라이,35,2.3,4432.0
K-ICT 본투글로벌센터,35,1.9,5765.0
경상북도교육청,35,3.7,3705.0
네오디지탈스퀘어(주),35,2.5,2843.0
위니언(주),35,1.7,3032.0
한미사이언스(주),35,2.7,5026.0
(주)공공정책성과평가연구원,34,2.2,3244.0
(주)큐에스,34,3.2,3192.0
보로노이(주),34,3.0,4291.0
테너지(주),34,3.1,4873.0
희망제작소,34,2.7,2741.0
(사)한국경제연구원,33,3.2,5768.0
(재)행복에프앤씨,33,2.3,3635.0
(주)네모파트너즈피오씨,33,3.8,4440.0
(주)명소아이엠씨,33,2.9,3000.0
(주)이퓨앤파트너스,33,2.0,2965.0
(주)인브레인,33,3.3,3455.0
(주)하나금융경영연구소,33,2.8,4856.0
경기중소기업종합지원센터,33,3.5,2726.0
법무법인 충정,33,2.5,2679.0
브랜드앤컴퍼니(주),33,3.0,3597.0
(주)엠디헬스케어,32,2.6,3339.0
(주)프럼,32,3.0,3470.0
담소이야기(주),32,2.0,3321.0
생명보험협회(사),32,3.8,7006.0
서울특별시강남구도시관리공단,32,3.7,3141.0
전국재해구호협회(사) 희망브리지,32,2.1,3857.0
테라컨설팅그룹(주),32,2.3,4048.0
(사)대덕이노폴리스벤처협회,31,3.1,3560.0
(사)한국산지환경연구회,31,3.6,4698.0
(주)모라비안앤코,31,3.4,4064.0
(주)지비에스,31,2.8,2679.0
(주)함소아,31,2.4,3632.0
국립국어원,31,2.8,2694.0
네이슨리서치그룹(주),31,3.5,3185.0
농림수산식품기술기획평가원,31,2.9,5042.0
법률사무소디에이,31,3.7,2986.0
법무법인 한결,31,2.3,2950.0
법무법인오현,31,3.0,2504.0
서울시립청소년미디어센터,31,2.3,3246.0
세무법인신승,31,1.9,2896.0
신우회계법인,31,2.6,2682.0
엘리오앤컴퍼니(주),31,3.1,6087.0
전경련중소기업협력센터(재),31,3.0,5070.0
(사)새마을운동중앙회,30,2.7,7611.0
(사)아시아교류협회,30,2.7,2795.0
(사)한국여성벤처협회,30,1.9,2443.0
(유)한국어도비시스템즈,30,4.2,8502.0
(주)갈렙에이비씨,30,3.0,3662.0
(주)비엔알아이,30,2.4,2921.0
(주)에이시지알,30,2.5,3860.0
(주)키투웨이,30,3.3,4065.0
강원도 교육청,30,3.5,2991.0
메디피스(사),30,2.7,3007.0
스마트인재개발원(사),30,2.4,2670.0
임팩트스테이션(주),30,2.9,2942.0
정진회계법인,30,2.6,2861.0
코리아노무법인,30,3.4,3822.0
한국원자력협력재단,30,2.7,4453.0
해양환경관리공단,30,3.2,4910.0
(사)국제앰네스티한국지부,29,3.0,2786.0
(사)대한상사중재원,29,3.4,6268.0
(사)타이드인스티튜트,29,3.2,3686.0
(재)플랜한국위원회,29,2.1,2585.0
(재)한국재난안전기술원,29,2.0,4200.0
(주)비씨케이컨설팅그룹,29,3.0,4124.0
(주)카텍,29,2.4,3367.0
기분좋은큐엑스(주),29,2.8,2512.0
브랜드메이저(주),29,2.2,3885.0
한국광해관리공단,29,3.7,3852.0
한국물가협회(사),29,2.6,4048.0
한국콜마홀딩스(주),29,2.5,4980.0
(재)한국산업경제개발원,28,2.1,2541.0
경상북도문화관광공사,28,2.3,3722.0
세인세무법인,28,1.6,3261.0
아산나눔재단,28,3.7,3918.0
한국전시산업진흥회,28,3.2,4030.0
(주)리얼투데이,27,3.0,3863.0
(주)에스엘바이젠,27,2.3,5030.0
(주)엠디비젼,27,2.9,2896.0
토마스컨설턴츠에이피(주),27,2.9,3742.0
한국경제경영연구원(주),27,4.0,2553.0
한국정보경영평가(주),27,2.4,2898.0
회계법인성지,27,2.8,3196.0
(사)한국수산회,26,2.0,3359.0
(재)경기대진테크노파크,26,2.5,2981.0
(주)덱스컨설팅,26,2.6,2947.0
(주)로그인디,26,2.5,2480.0
(주)우리누리,26,3.6,3050.0
(주)코오롱,26,3.6,5496.0
레고켐바이오사이언스(주),26,2.8,4304.0
미담장학회,26,2.9,2637.0
성도회계법인,26,3.2,3149.0
세무법인세이브택스,26,3.1,2851.0
스윗인(주),26,3.0,2311.0
코피온,26,2.0,2298.0
풍산홀딩스(주),26,3.2,5268.0
한국천문연구원,26,4.2,4144.0
환경운동연합,26,2.7,2612.0
(사)유엔협회세계연맹,25,3.2,2575.0
(재)푸르메,25,2.8,3329.0
(재)한국통계진흥원,25,2.8,3603.0
(주)유씨알엠,25,2.3,2994.0
(주)이비가푸드,25,3.0,2893.0
(주)핏투게더,25,3.8,5087.0
궁궐문화원,25,1.8,2443.0
대전광역시교육청,25,3.5,3561.0
디스이즈엔지니어링(주),25,2.0,4632.0
