,리뷰수(개),평점,평균 연봉(만)
랭콘잉글리쉬,50,2.5,2655.0
서울예술대학교,50,2.5,3715.0
연세대학교 대학원,50,3.2,3779.0
한국리더십센터(주),50,3.3,2932.0
(사)제이에이코리아,49,3.1,2814.0
두란노서원(사),49,2.8,2646.0
서울대학교농생명과학공동기기원,49,3.0,2773.0
윈글리쉬(주),49,1.9,3331.0
서울여자간호대학교,48,1.5,3094.0
(사)국제경영원,47,2.7,4013.0
(주)리딩엠,47,1.9,2376.0
(주)스피쿠스,47,2.6,2928.0
(주)아트스피치앤커뮤니케이션,47,2.0,3432.0
(주)지안에듀,47,1.9,2752.0
아이에이이유학네트 (매장),47,2.1,2927.0
잡인피플컨설팅(주),47,1.6,2339.0
티에스에듀(주),47,3.3,2859.0
한국교원연수원(주),47,2.3,3242.0
(주)비즈테크온,46,3.1,3332.0
강남대성학원,46,3.8,3412.0
조인스에이치알(주),44,3.1,2787.0
(주)엠케이유니버스,43,1.5,3579.0
(주)캠퍼스멘토,43,3.0,2707.0
제이알씨글로벌교육(주),43,1.9,2655.0
(주)대교홀딩스,42,2.4,4481.0
국가과학기술인력개발원,42,3.7,4210.0
민병철어학원(주),42,2.8,2277.0
에스씨지직무전문성연구소(주),42,2.8,3085.0
유학피플(주),42,3.1,2932.0
(주)더블유에프엠 이보영의토킹클럽,41,2.9,2496.0
(주)이티원,41,2.1,2708.0
(주)플래뮤,41,2.5,2301.0
(주)한국교육평가원,41,3.2,2375.0
(주)렛유인에듀,40,2.9,3144.0
굿잡아카데미컴퓨터아트학원,40,3.1,2702.0
(주)고시넷,39,2.5,2447.0
(주)독서문화연구원,39,2.6,3296.0
(주)이언에듀케이션 YEP이언어학원,39,3.5,2963.0
겐트대학교 글로벌캠퍼스,39,2.6,3692.0
삼육보건대학교,39,2.7,2424.0
홍선생교육(주),39,2.4,3152.0
(주)아트크레오,38,1.4,2613.0
(주)지텔프코리아,38,3.5,3021.0
건설기술교육원(재),38,3.3,3590.0
올림피아드교육(주),38,2.3,2533.0
종로여성인력개발센터,38,2.5,2551.0
명성학원(주),37,2.7,2813.0
(주)경일게임아카데미,36,3.4,2784.0
(주)인트윈,36,3.3,3264.0
백석예술대학교,36,3.0,2083.0
진수어학원(주),36,2.8,2241.0
해커스랩(주),36,1.7,3825.0
성공회대학교,35,3.3,3976.0
에듀맥스(주),35,1.6,2315.0
(주)배움,33,2.4,2981.0
(주)케이에이치자산관리법인,33,2.2,2530.0
(재)네이버커넥트,32,3.6,4316.0
코리아승무원아카데미,32,2.6,2291.0
(주)612어학원,31,2.3,2590.0
(주)이노솔루션,31,2.4,4211.0
(주)코딩앤플레이,31,2.1,2500.0
플랜티어학원(주),31,3.1,3829.0
호원대학교,31,2.8,3692.0
(재)건설산업교육원,30,2.9,3127.0
(주)가인지캠퍼스,30,4.1,3308.0
(주)울림교육연구소,30,2.0,2172.0
광주대학교,29,3.2,3040.0
동주대학교,29,3.0,2325.0
(주)비와이즈,28,3.1,2646.0
(주)지알아이티,28,1.6,3964.0
(주)한영교육,28,1.7,2216.0
국제어학당(주),28,2.9,2980.0
서강대학교산학협력단,28,2.2,2961.0
아이엘이어학원,28,3.0,3543.0
(주)취업의신,27,3.5,3445.0
관악정상어학원,27,2.4,2976.0
메세지팩토리협동조합,27,2.9,2567.0
빈코에듀(주),27,2.4,2981.0
이지엠휴먼월드(주),27,2.3,3672.0
(주)이씨케이교육,26,2.6,2730.0
대원대학교,26,2.6,2829.0
펠리스스페인어학원,26,2.5,2585.0
한국교원대학교,26,3.3,2967.0
(주)에듀킨아카데미,25,3.0,2695.0
경기외국어고등학교,25,1.6,2726.0
중앙대학교 대학원,25,3.8,2529.0
해외교육진흥원(주),25,3.4,2569.0
(주)러닝팩토리,24,3.3,3193.0
(주)허니비즈에이치알디,24,2.6,2400.0
서울보광초등학교,24,4.0,4008.0
(주)인코칭,23,4.0,3961.0
김천대학교,23,2.4,2651.0
이얼싼중국문화원(주),23,1.9,3151.0
이지앤웰니스(주),23,3.4,3652.0
이카이스(주),23,2.8,3271.0
(주)에듀챌린지,22,3.2,3210.0
씨앤에이논술,22,2.3,3691.0
비타에듀,21,2.5,2832.0
엠디엔피교육(주),21,2.0,2385.0
유학닷컴(주),21,2.8,3042.0
해커스편입,21,2.5,2520.0
서울원격평생교육원,20,2.4,2099.0
월드패밀리잉글리쉬코리아(주),20,2.8,3322.0
이투스24/7학원,20,2.9,2298.0
입소(주),20,3.5,3084.0
한국IT교육원,20,2.5,2364.0
이엔엠플러스,19,2.4,2368.0
토스잉글리시,19,2.8,2217.0
플랫비(주),19,2.9,3679.0
한국인재개발진흥원(주),19,2.8,2943.0
(사)보험연수원,18,3.7,7484.0
(주)코리아이앤피,18,3.2,3278.0
동네발전소협동조합,18,2.3,2460.0
메가엠디(주) 중앙원격평생교육원,18,2.6,2846.0
(주)그레이스풀레인,17,2.4,3202.0
(주)리엔에스티,17,1.8,2577.0
(주)이감,17,3.4,3747.0
부산글로벌빌리지(주),17,3.2,2269.0
한국전통문화대학교,17,3.4,2580.0
(주)달꿈,16,4.1,2170.0
(주)에듀앤플레이,16,3.4,2911.0
(주)에이치에스지휴먼솔루션그룹,16,4.1,3535.0
(주)자라다교육,16,3.4,2880.0
리딩타운(주),16,3.4,2748.0
에이투제트컨설팅(주),16,3.1,2891.0
엠비씨아카데미(주),16,2.3,2590.0
컨설테크인터내셔날(주),16,3.7,3257.0
(주)21그램,15,3.5,2594.0
(주)구디,15,3.9,2607.0
(주)러닝스푼즈,15,3.9,3244.0
(주)엠씨씨홀딩스,15,2.8,2695.0
(주)한국갭이어,15,3.5,2275.0
경기영어마을(재),15,2.9,2443.0
고플루언트(주),15,3.5,4041.0
아이디어큐브(주),15,1.7,3594.0
와이엠컨설팅,15,3.8,3080.0
유니윌,15,2.7,3352.0
캐너스인터내셔날(주),15,4.5,3274.0
한건이엔씨영어학원,15,4.2,4415.0
(재)로이교육재단 로이문화예술실용전문학교,14,2.8,3134.0
(주)네오아이즈,14,2.1,3432.0
(주)일공일랩,14,1.9,2387.0
(주)좋은습관창조원,14,3.9,2876.0
굿잡투데이(주),14,2.2,2460.0
서울디지털대학교 서울디지털평생교육원,14,3.3,2882.0
아이티윌,14,2.9,2842.0
에이치에스피컨설팅유답(주),14,2.3,3557.0
와이비엠시사닷컴(주)이씨씨어학원,14,2.9,2738.0
티치코리아(주),14,4.0,3182.0
화신사이버대학교,14,2.6,2600.0
(주)유퍼스트코리아,13,2.3,3276.0
(주)이노핏파트너스,13,3.1,3148.0
김포외국어고등학교,13,2.7,2925.0
리라유치원,13,3.7,2646.0
아세아항공직업전문학교,13,2.8,4451.0
이나우스아카데미(주),13,3.3,3362.0
한국산업개발훈련원(주),13,2.0,2400.0
행복한웹앤미디어,13,1.9,3246.0
(주)마로마브,12,3.7,3068.6672297297296
(주)바비,12,4.0,3564.0
(주)이븐아이,12,3.8,3826.0
(주)튼튼영어,12,2.8,3229.0
고려이앤씨(주),12,2.4,2861.0
박코치어학원,12,3.8,1587.0
봄온아카데미(주),12,1.8,2919.0
폴아카데미어학학원,12,2.8,2628.0
퓨처북(주),12,1.6,2283.0
(주)극한스피킹,11,3.9,2894.0
(주)하상에듀,11,2.5,1966.0
생각하는교육(주),11,2.8,2413.0
서강대학교 국제문화교육원,11,2.9,1920.0
중앙일보교육법인(주),11,2.7,2891.0
폴앤마크(주),11,3.2,2270.0
한국포럼(주),11,3.0,4178.0
헤럴드아카데미(주),11,1.6,3215.0
(주)더모션아트텍,10,2.5,2455.0
