,리뷰수(개),평점,평균 연봉(만)
로앤굿(주),9,4.6,4545
비앤피이노베이션(주),9,3.9,3984
코파데이타코리아(주),9,2.3,4165
(주)반스토리,8,2.3,3159
(주)씽즈,8,3.4,3279
(주)업템포글로벌,8,3.3,3509
(주)위즈페이스,8,3.8,3171
(주)케이디아이에스,8,1.8,3981
(주)투게더아트,8,3.3,2677
(주)트랜디랩스,8,4.3,2478
(주)파워이십일,8,3.1,2668
(주)히즈윌컴즈,8,1.4,2641
다겸(주),8,4.5,4087
다음핑거터치(주),8,3.0,2355
링커블(주),8,2.1,4837
블랙탠저린,8,4.5,3487
에스씨지랩(주),8,3.8,2729
차일들리(주),8,4.5,3755
한국시스템보증(주),8,3.4,3355
호두에이아이랩(주),8,4.1,3253
(주)가디언홀딩스,7,2.9,3756
(주)꾼,7,2.9,3265
(주)더브이플래닛,7,4.4,3840
(주)디렉션소프트,7,3.3,3118
(주)비지피웍스,7,2.6,3756
(주)쇼엠커머스,7,3.4,3756
(주)아이티존,7,2.4,2637
(주)알이,7,3.4,3756
(주)열정팩토리,7,3.6,2730
(주)오르페오사운드웍스,7,3.9,6816
(주)유커넥션,7,2.7,2190
(주)킨사이트,7,2.7,3590
(주)테서,7,3.3,5984
(주)플러스티브이,7,3.3,3756
(주)헤세드릿지,7,3.9,3756
알고케어(주),7,4.3,4462
지속가능발전소(주),7,2.4,5105
헬로우링크(주),7,1.6,2864
(주)띵킹프렌즈,6,1.7,2925
(주)바스젠바이오,6,3.3,4219
(주)빌리,6,2.2,3328
(주)뽐뿌커뮤니케이션,6,3.0,3725
(주)시큐웍스,6,1.3,3756
(주)유트론,6,1.7,3125
(주)인포씨드,6,1.7,4991
(주)촉,6,2.5,3756
(주)코보시스,6,3.8,4405
(주)콜버스랩,6,4.8,4753
(주)큐엠아이티,6,4.5,3756
(주)플링크,6,4.3,3756
(주)히릿소프트,6,3.2,3756
갤러리360(주),6,2.0,2652
다빈치에프앤이(주),6,1.7,2665
디클(주),6,2.5,2449
한국아이오티(주),6,4.0,3486
(주)더안코어컴퍼니,5,4.0,3338
(주)데일리샷,5,4.8,3756
(주)모니모니,5,4.4,3451
