,리뷰수(개),평점,평균 연봉(만)
라이프해킹(주),2,3.5,0
라임오렌지,2,2.5,1804
레인디(주),2,3.5,0
마크마운트(주),2,3.5,0
삼일인포마인(주),2,3.5,5029
씰컴퍼니(주),2,3.0,3135
앱스아시아,2,3.5,2690
오토비즈니스커뮤니케이션(주),2,3.0,2928
이야기(주),2,2.5,3900
케이앤피네트웍스(주),2,2.5,2394
케이팝팩토리(주),2,2.5,0
(주)고릴라디스트릭트,1,4.0,2747
(주)노티플러스,1,4.0,3508
(주)더블유케이티코리아,1,3.0,0
(주)데일리뮤지엄,1,2.0,0
(주)로컬앤라이프,1,4.0,2551
(주)머니스테이션,1,1.0,0
(주)멘투비,1,5.0,0
(주)미리내,1,2.0,0
(주)배움의모든것,1,5.0,3000
(주)북아이피스,1,3.0,0
(주)블루벨,1,5.0,2438
(주)비사이드코리아,1,5.0,0
(주)비엘에프,1,4.0,0
(주)아름담다,1,3.0,0
(주)아바,1,3.0,2819
(주)아이앤지네이처,1,4.0,0
(주)알에이치홀딩스,1,3.0,0
(주)어나더원,1,5.0,0
(주)엔코위더스,1,4.0,0
(주)오늘의이야기,1,1.0,2403
(주)오더스팟,1,5.0,2957
(주)오지,1,5.0,3215
(주)옥소폴리틱스,1,5.0,0
(주)요일,1,4.0,0
(주)위클립스,1,5.0,0
(주)천명앤컴퍼니,1,3.0,0
(주)카운터컬쳐컴퍼니,1,4.0,0
(주)테아트룸,1,4.0,0
(주)파이엇소프트,1,4.0,0
(주)펫피플,1,3.0,0
(주)플라스틱라운지,1,4.0,0
(주)플래텀,1,3.0,3340
(주)혼밥인의만찬,1,1.0,4334
그레이트블루(주),1,3.0,2840
닛픽,1,5.0,0
딴지그룹(주),1,5.0,3226
바이낸스(유),1,4.0,6433
바이브테크(주),1,3.0,0
발랄한아이티(주),1,4.0,0
비전플레이스(주),1,2.0,4176
빅밴드,1,2.0,0
새명,1,4.0,3383
씨맥스소프트(주),1,1.0,2340
아이에스(주),1,5.0,2500
아케인(주),1,4.0,2633
에이비제트(주),1,4.0,0
에피데믹사운드코리아(유),1,5.0,0
엠에스,1,4.0,0
여의(주),1,3.0,3280
위시라인,1,5.0,0
이라이프커뮤니케이션(주),1,3.0,2700
카일루아(주),1,5.0,0
크레실커뮤니케이션,1,2.0,0
플레이플래닛(주),1,4.0,2298
피플온브릿지,1,5.0,0
