,리뷰수(개),평점,평균 연봉(만)
애나컴(주),7,2.1,4287
인피언컨설팅(주),7,3.4,2750
(주)디에이웍스,6,4.0,3681
(주)라온비주얼시스템,6,3.8,2789
(주)유스비,6,4.3,4028
(주)트라이큐빅스코리아,6,3.5,4664
(주)피스트글로벌,6,3.0,3282
(주)한국복권데이터,6,5.0,4164
드림비전스(주),6,2.5,3800
유비즈정보기술(주),6,3.0,2717
(주)로다아이티,5,1.6,3681
(주)비로보틱스,5,3.0,3681
(주)앰진,5,3.4,3208
(주)제이씨티에스,5,4.8,5983
(주)제티오,5,1.0,3844
(주)캔슬마켓,5,1.8,2333
(주)큐브인터랙티브,5,3.8,3681
디비디랩(주),5,4.0,3681
아이티소스코리아,5,1.2,3600
유비게이트씨엔씨(주),5,2.8,3555
제너레잇(주),5,4.6,3601
한국후테로시스템(주),5,3.6,4055
(주)그루텍,4,4.3,3681
(주)로아인텔리전스,4,1.3,3681
(주)브릴위즈,4,3.0,2730
(주)블루비즈랩,4,3.3,4232
(주)시지태테크놀러지,4,3.8,2145
(주)웨이센,4,5.0,4290
(주)유니유니,4,5.0,3681
(주)이지스랩스,4,4.8,3681
(주)지디시스,4,3.0,4591
(주)토노베이션,4,1.5,2956
디스트로시큐리티(주),4,4.0,3103
비즈프리솔루션(주),4,4.3,3681
서경엔씨에스(주),4,3.3,3254
세이프모션,4,3.0,2805
센티오스(주),4,2.3,6314
실바코코리아(주),4,1.5,6018
아미아이티(주),4,3.5,4599
이지시스템(주),4,4.0,4570
인테크,4,2.8,2599
한국비투아컨설팅,4,2.3,2365
헤브런(주),4,3.3,2979
(주)루텍,3,2.7,3607
(주)브이웨이,3,5.0,5185
(주)오픈소프트랩,3,4.3,4071
(주)유림인포텍,3,1.3,3681
(주)익시,3,3.3,3681
(주)클라우드네트웍스,3,3.7,4219
(주)티릴리,3,5.0,2642
공간인소프트(주),3,3.0,3485
넷식스솔루션,3,2.3,3681
다온기술(주),3,4.0,3848
럭스소프트코리아(유),3,4.3,7015
브이아이피키드(주),3,3.7,3681
씨엘케이엔코아(주),3,2.0,3573
엔에이치넷(주),3,2.7,3300
엠브이씨앤에스(주),3,4.0,2413
엠비안(주),3,3.7,3104
이너플러스그룹(주),3,2.7,2367
인크레파스(주),3,4.3,3184
(주)디티솔루션,2,5.0,3205
(주)백두테크놀로지스,2,4.0,3681
(주)쓰리피네트웍스,2,3.0,2455
(주)엔코씨앤에스,2,4.0,3681
(주)티클링,2,4.0,3396
(주)프리모아,2,4.5,3812
가우스랩스인크(주),2,5.0,3681
나래아이에스(주),2,4.0,4240
비에스이컨설팅(주),2,4.5,3562
서현아이씨티(주),2,1.0,3681
씨플러스(주),2,2.0,4580
웍스(주),2,2.0,3681
유씨에스(주),2,4.0,3681
인텔렉추얼데이터(주),2,5.0,3681
(주)디팟커뮤니케이션,1,5.0,3681
(주)비버소프트,1,5.0,3681
(주)쎄넥스코리아,1,4.0,8021
(주)아이리치그린,1,5.0,2822
(주)에이스솔루션,1,5.0,2974
(주)에이아이닷엠,1,3.0,3681
(주)크로스체크,1,3.0,3681
대진정보통신(주),1,1.0,3681
롱텀캐피탈매니지먼트,1,5.0,3681
루벤티스(주),1,4.0,3681
비추얼넷(주),1,3.0,5381
시스템오,1,4.0,2805
아테나스(주),1,1.0,4193
에스넷아이씨티(주),1,4.0,3681
엘엠티에스엔씨(주),1,3.0,3280
오디코프(주),1,1.0,3867
오엔테크놀러지(주),1,2.0,2214
위즈메타(주),1,5.0,3681
투비웨어(주),1,5.0,3964
프론티어솔루션(주),1,3.0,4038
휴먼(주),1,4.0,2267
